date,ticker,ETF_id,name,gics_sector,open,high,low,close,volume,amount,index_close,market_corr_active,market_corr_rolling20,market_corr_ewma20,market_beta_rolling20,market_score,market_rank,market_valid,flow_score_raw,flow_score,flow_rank,flow_valid,rotation_score_raw,rotation_score,rotation_rank,rotation_valid,tradable,all_rank_valid
2025-09-15,117460,ETF_001,KODEX 에너지화학,Energy,11754.0,11974.0,11734.0,11974.0,62240.0,741.0,46497.0,0.4904204126107521,0.4904204126107521,0.6669148273159612,0.614728601183296,0.5555555555555556,5.0,True,0.0137212499570165,0.6666666666666667,4.0,True,1.9107464939279768,1.0,1.0,True,True,True
2025-09-15,117680,ETF_002,KODEX 철강,Materials,12057.0,12220.0,11953.0,12012.0,238577.0,2875.0,46497.0,0.7427400206203857,0.7427400206203857,0.6822539531231177,1.0875649990730905,0.2222222222222222,8.0,True,-0.3639105643131037,0.2222222222222222,8.0,True,0.3417598308121669,0.6666666666666667,4.0,True,True,True
2025-09-15,139260,ETF_003,TIGER 200 IT,Information Technology,36942.0,37265.0,36479.0,36967.0,195224.0,7188.0,46497.0,0.895065815848617,0.895065815848617,0.8931757115819606,1.6119030057891492,0.0,10.0,True,0.0116129259928973,0.5555555555555556,5.0,True,0.304504636416089,0.5555555555555556,5.0,True,True,True
2025-09-15,139270,ETF_004,TIGER 200 금융,Financials,12056.0,12276.0,12002.0,12227.0,177543.0,2160.0,46497.0,0.7540233742859969,0.7540233742859969,0.7147249350776016,1.1140421309785706,0.1111111111111111,9.0,True,-0.9480886371147962,0.0,10.0,True,1.0079018479440875,0.8888888888888888,2.0,True,True,True
2025-09-15,227550,ETF_005,TIGER 200 산업재,Industrials,9970.0,9989.0,9847.0,9847.0,895.0,9.0,46497.0,0.5665446600245849,0.5665446600245849,0.5956334829920751,0.7413217414151655,0.4444444444444444,6.0,True,0.9254036684269266,1.0,1.0,True,-1.3480292581618578,0.0,10.0,True,True,True
2025-09-15,266390,ETF_006,KODEX 경기소비재,Consumer Discretionary,9629.0,9743.0,9599.0,9723.0,30454.0,296.0,46497.0,0.1931112751944198,0.1931112751944198,0.5246205083467264,0.1624915909584108,0.8888888888888888,2.0,True,0.0307108780578965,0.7777777777777778,3.0,True,0.4004272219952495,0.7777777777777778,3.0,True,True,True
2025-09-15,266410,ETF_007,KODEX 필수소비재,Consumer Staples,8440.0,8474.0,8380.0,8425.0,22565.0,190.0,46497.0,0.0794787136601058,0.0794787136601058,0.3537701193025501,0.050561123391173,1.0,1.0,True,0.7924164468754039,0.8888888888888888,2.0,True,-0.6436825455508933,0.2222222222222222,8.0,True,True,True
2025-09-15,266420,ETF_008,KODEX 헬스케어,Health Care,19430.0,19485.0,19275.0,19450.0,70740.0,1372.0,46497.0,0.5682257165431733,0.5682257165431733,0.5726180528821077,0.5265538199355223,0.3333333333333333,7.0,True,-0.3303619097653216,0.4444444444444444,6.0,True,-0.4650478530482788,0.3333333333333333,7.0,True,True,True
2025-09-15,315270,ETF_009,TIGER 200 커뮤니케이션서비스,Communication Services,22234.0,22234.0,21997.0,22026.0,5832.0,128.0,46497.0,0.4232519336046763,0.4232519336046763,0.4686605792062832,0.4373176074498579,0.6666666666666667,4.0,True,-0.3517924579129566,0.3333333333333333,7.0,True,-1.18881861238234,0.1111111111111111,9.0,True,True,True
2025-09-15,476800,ETF_010,KODEX 한국부동산리츠인프라,Real Estate,4597.0,4607.0,4587.0,4597.0,1220447.0,5607.0,46497.0,0.2143013704442033,0.2143013704442033,0.4097012433986353,0.0617433095965705,0.7777777777777778,3.0,True,-0.3871774311536207,0.1111111111111111,9.0,True,-0.3197617619522001,0.4444444444444444,6.0,True,True,True
